id;libelle;type;explication
1;driver;YES_NO;../fake-data/blob/hipster.txt
2;parse;CHAMPS_LIBRE;../fake-data/blob/hipster.txt
3;ivory;CHOIX_IMAGE;../fake-data/blob/hipster.txt
4;even-keeled;CHOIX_IMAGE;../fake-data/blob/hipster.txt
5;Division Awesome Wooden Mouse composite;YES_NO;../fake-data/blob/hipster.txt
6;haptic Program Rustic;CHAMPS_LIBRE;../fake-data/blob/hipster.txt
7;Plastic Licensed Frozen Car Bulgarian Lev;CHAMPS_LIBRE;../fake-data/blob/hipster.txt
8;payment Savings Account;YES_NO;../fake-data/blob/hipster.txt
9;Handmade;CHAMPS_LIBRE;../fake-data/blob/hipster.txt
10;SDR HDD;CHOIX_MULTIPLE;../fake-data/blob/hipster.txt
