id;reponse_text;reponse_image;reponse_image_content_type;reponse_nombre;correct;poids
1;Car drive deposit;../fake-data/blob/hipster.png;image/png;41910;true;55424
2;Home Loan Account budgetary management indexing;../fake-data/blob/hipster.png;image/png;66652;false;39343
3;Australia Towels;../fake-data/blob/hipster.png;image/png;23239;true;83066
4;extensible Bedfordshire;../fake-data/blob/hipster.png;image/png;28208;false;79674
5;Money Market Account grey Arkansas;../fake-data/blob/hipster.png;image/png;50328;true;86548
6;Egyptian Pound Bangladesh Planner;../fake-data/blob/hipster.png;image/png;37582;true;85901
7;Crossing Multi-lateral Romania;../fake-data/blob/hipster.png;image/png;61257;true;9674
8;e-business;../fake-data/blob/hipster.png;image/png;64694;true;79977
9;Soft Practical;../fake-data/blob/hipster.png;image/png;90529;true;31199
10;COM Gorgeous Metal Gloves Berkshire;../fake-data/blob/hipster.png;image/png;89494;true;77190
