id;name;date_abonnement;logo;logo_content_type
1;cross-platform Program;2019-12-30T18:03:36;../fake-data/blob/hipster.png;image/png
2;Architect program;2019-12-29T22:38:43;../fake-data/blob/hipster.png;image/png
3;green Small;2019-12-30T08:22:42;../fake-data/blob/hipster.png;image/png
4;parse Som;2019-12-30T17:02:27;../fake-data/blob/hipster.png;image/png
5;Cambridgeshire web services Avon;2019-12-30T13:30:42;../fake-data/blob/hipster.png;image/png
6;transmitting Intelligent;2019-12-30T19:36:37;../fake-data/blob/hipster.png;image/png
7;Philippine Peso Fort redundant;2019-12-30T08:08:37;../fake-data/blob/hipster.png;image/png
8;whiteboard Programmable;2019-12-30T04:02:20;../fake-data/blob/hipster.png;image/png
9;invoice cross-platform Texas;2019-12-30T11:16:53;../fake-data/blob/hipster.png;image/png
10;ivory;2019-12-30T09:16:31;../fake-data/blob/hipster.png;image/png
